licensePlate
SFV537,MOTORCYCLE
FGT345,CAR
QWE456,CAR
IUY836,CAR
EFV456,MOTORCYCLE
TXT123,MOTORCYCLE
TXT123,CAR
HUION123,MOTORCYCLE
Mickey,MOTORCYCLE
Mickey,MOTORCYCLE
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
Ayo123,CAR
